Analyst,audiofile,Date,RecordingLocation,plot,location,PrimateSpecies,CallDistance,MicUsed,Rain
Silvy van Kuijk,HARPIA_20130208_054500.wav,2/8/2013,"Harpia/7, 400",Harpia,"7, 400",Howler,3,1,Dry
Silvy van Kuijk,HARPIA_20130208_060000.wav,2/8/2013,"Harpia/7, 400",Harpia,"7, 400",Howler,4,1,Dry
Silvy van Kuijk,HARPIA_20130208_064500.wav,2/8/2013,"Harpia/7, 400",Harpia,"7, 400",Titi,4,1,Dry
Silvy van Kuijk,HARPIA_20130208_070000.wav,2/8/2013,"Harpia/7, 400",Harpia,"7, 400",Titi,4,1,Dry
Silvy van Kuijk,HARPIA_20130208_080000.wav,2/8/2013,"Harpia/7, 400",Harpia,"7, 400",Titi,4,1,Dry
Silvy van Kuijk,HARPIA_20130208_061500.wav,2/8/2013,"Harpia/7, 400",Harpia,"7, 400",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130208_063000.wav,2/8/2013,"Harpia/7, 400",Harpia,"7, 400",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130208_071500.wav,2/8/2013,"Harpia/7, 400",Harpia,"7, 400",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130208_073000.wav,2/8/2013,"Harpia/7, 400",Harpia,"7, 400",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130208_074500.wav,2/8/2013,"Harpia/7, 400",Harpia,"7, 400",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130209_054500.wav,2/9/2013,"Harpia/7, 400",Harpia,"7, 400",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130209_060000.wav,2/9/2013,"Harpia/7, 400",Harpia,"7, 400",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130209_061500.wav,2/9/2013,"Harpia/7, 400",Harpia,"7, 400",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130209_063000.wav,2/9/2013,"Harpia/7, 400",Harpia,"7, 400",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130209_064500.wav,2/9/2013,"Harpia/7, 400",Harpia,"7, 400",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130209_070000.wav,2/9/2013,"Harpia/7, 400",Harpia,"7, 400",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130209_071500.wav,2/9/2013,"Harpia/7, 400",Harpia,"7, 400",None,NA,1,Rain
