original_output_file,survey_file_name,template,starttime,ampcutoff,species,min.score,max.score,n.scores,folder,location,recording.date,audiofile
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_054500.wav ",F1,25,-25,T,-0.01,3.08,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_054500.wav ",F2,0,-25,T,0.45,2.56,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_054500.wav ",F2,87,-25,T,0.68,2.71,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_054500.wav ",F3,0,-25,T,0.45,2.71,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_054500.wav ",F4,0,-25,T,0.06,2.88,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_054500.wav ",F4,30,-25,T,-0.15,2.51,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_054500.wav ",F5,65,-25,T,-0.08,3.12,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_054500.wav ",F8,25,-25,T,0.05,3,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_054500.wav ",F8,36,-25,T,0.41,2.7,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_054500.wav ",F6,15,-25,H,-5.36,-2.65,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_054500.wav ",F7,17,-25,H,-3.61,-1.18,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_054500.wav ",F9,102,-25,T,0.04,2.65,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_060000.wav ",F1,25,-25,T,-1.14,2.8,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_060000.wav ",F2,0,-25,T,-1.81,1.72,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_060000.wav ",F2,87,-25,T,-1.79,1.77,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_060000.wav ",F3,0,-25,T,-1.97,1.82,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_060000.wav ",F4,0,-25,T,-1.32,2.14,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_060000.wav ",F4,30,-25,T,-2.22,1.58,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_060000.wav ",F5,65,-25,T,-1.01,2.23,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_060000.wav ",F8,25,-25,T,-0.83,2.48,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_060000.wav ",F8,36,-25,T,-0.52,2.2,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_060000.wav ",F6,15,-25,H,-2.1,3.89,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_060000.wav ",F7,17,-25,H,-1.26,2.38,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_060000.wav ",F9,102,-25,T,-1.85,1.78,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_061500.wav ",F1,25,-25,T,-2.03,0.69,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_061500.wav ",F2,0,-25,T,-2.74,0.32,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_061500.wav ",F2,87,-25,T,-3.16,0.44,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_061500.wav ",F3,0,-25,T,-2.98,0.4,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_061500.wav ",F4,0,-25,T,-1.93,0.78,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_061500.wav ",F4,30,-25,T,-2.86,0.52,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_061500.wav ",F5,65,-25,T,-1.92,0.75,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_061500.wav ",F8,25,-25,T,-1.95,0.52,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_061500.wav ",F8,36,-25,T,-1.62,0.52,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_061500.wav ",F6,15,-25,H,0.45,5.78,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_061500.wav ",F7,17,-25,H,-0.34,3.69,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_061500.wav ",F9,102,-25,T,-2.57,0.62,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
