Unique_ID,Date,Group,Observer Sample ID,Avistaje ID,AdLib ID,Time,Location,CallType,Accuracy,M,Deg,Loc_UTM_X,Loc_UTM_Y,Titis_UTM_X,Titis_UTM_Y,InbandPower_Sig_dB,InbandPower_Sig_Units,InbandPower_Amb_dB,InbandPower_Amb_Units,SNR_Units,SNR_dB,Comments,xdisp,ydisp,dist_to_recorder
1,10-Jun-16,L,OS21088,AV27727,39793209,06:39:00,Lago 500,Duet,GPS,8,330,371695.564,9929297.436,371695.064,9929298.302025404,-45.41,2.88e-5,-62.46,5.68e-7,49.7,17,"Duet started at 06:39:44 by Luciferus. Location: Lago 500, 330 degrees, 8 m. First part of duet lasted 4 minutes. Luciferus and Lulu sat in contact throughout this part of the duet, for second part the monkeys started moving around apart from one another. INF15 did not sit in contact with the adults and I could not see INF14a, but I am pretty sure he sang along.",-0.5000000000000004,0.8660254037844384,118.73731997483775
2,14-Jun-16,L,OS21092,AV27738,39793188,09:21:50,CD-16-037,Duet,GPS,12,80,371521.1809,9929377.83,371522.165707753,9929378.003648179,-49,1.26e-5,-65.09,3.1e-7,39.6,16,"Duet from 09:21:50 to 09:26:50. Lulu and Luciferus in contact, INF15 in contact with Luciferus on his other side.    Unknown if INF14a sang along, he was out of sight. Tree height of monkeys while singing: approx. 22 m. Second part from 09:27:52-09:30:33 followed by burst gobbles at 09:31:00. Location: CD-16-037, 80 degrees, 12 m.",0.984807753012208,0.17364817766693041,94.08381044519847
18,14-Jun-16,UNK (D?),OS21092,NA,NA,NA,CD-12-094,Duet,Estimate,150,252,371796.465,9929433.5,371795.5139434837,9929433.190983005,-35.86,2.59e-4,-63.1,4.9e-7,529,27.2,"Duet, likely from Callicebus D near recorders.",-0.9510565162951535,-0.30901699437494756,185.57727923199513
4,15-Jun-16,L,OS21093,AV27740,39793199,06:56:00,CD-16-040,Duet,GPS,0,0,371584.2731,9929397.118,371584.2731,9929398.118,-29.36,0.00116,-65.26,2.98e-7,3890,35.9,"06:56:00 - 06:59:08. Location: GPS10 07:10 4m error. I could not see the monkeys, so have no behavioral data at all. :(",0,1,33.55477337171653
7,10-Jul-16,L,OS30798,AV33647,39793425,06:55:00,CD-15-111,NA,GPS,0,0,371663.7876,9929353.327,371663.7876,9929354.327,-37.88,1.63e-4,-59.41,1.15e-6,141,21.5,"Moaning: 06:55:07. Duet 1: 06:55:07-06:56:49. Duet 2: 06:57:13-06:58:50. Duet3/BG: 06:59:19-06:59:25. Moaning: 06:59:30-06:59:36. Duet 4: 06:59:59-07:01:50. BG: 07:02:33-07:02:39. Duet 5: 07:08:17-07:10:56. All these vocalizations were in CD-15-111. Some decibel readings: 87,4 - 78,8 - 78,0 + many around 75 dB.",0,1,57.877372747900836
8,10-Jul-16,L,OS30798,AV33647,39793441,07:27:00,CD-15-067,NA,GPS,0,0,371646.8068,9929286.389,371646.8068,9929287.389,-52.69,5.38e-6,-59.91,1.02e-6,4.27,6.31,"Duet 6: 07:27:44 - 07:29:58. Male was tail lashing a lot throughout this duet. In CON with female. Duet was in CD-15-067. 10m above ground. Duet 7: 07:31:02 - 07:32:26. Mostly in CON with female, but also some moving towards other group. Location: gps pp10 07:33, 11m error, 0m, 0d.",0,1,104.07101993068257
9,11-Jul-16,L,OS30799,AV33653,39793421,06:50:00,CD-16-053,NA,GPS,0,0,371678.4241,9929311.323,371678.4241,9929312.323,-47.91,1.62e-5,-66.3,2.34e-7,68,18.3,"Duet from 06:50:45 to 06:51:55. In tree CD-16-053. This seems to be the first real duet in the area that I could hear. Still though, I think it is a response to burst gobbles of another group.",0,1,97.23878029516688
10,15-Jul-16,L,OS30803,AV33693,NA,06:09:00,CD-16-053,NA,GPS,0,0,371678.4241,9929311.323,371678.4241,9929312.323,-39.9,1.02e-4,-60.16,9.64e-7,105,20.2,Possibly Callicebus L? First duet of morning as far as I am aware. From 06:09:55 to 06:11:50.,0,1,97.23878029516688
12,23-Jul-16,L,OS30811,AV33717,39793416,06:18:00,CD-16-044,NA,GPS,0,0,371690.5341,9929302.708,371690.5341,9929303.708,-50.29,9.35e-6,-63.8,4.17e-7,21.4,13.3,"06:18:45 - 06:20:04. Luciferus and INF14a sing a duet. Luciferus was sitting in CD-16-044, 8m high. He was tail lashing while singing. Lulu was sitting 8-10 m from him, eating Palm flower in CD-12-052 and did not sing along.",0,1,111.68841829146889
13,25-Jul-16,L,OS30813,AV33731,39793430,06:58:00,CD-09-007,NA,GPS,20,325,371634.2,9929344.28,371633.62642356363,9929345.099152043,-28.59,0.00138,-66.41,2.29e-7,6050,37.8,"06:58:02 - 06:59:20 -> Duet with last 20 seconds being a solo call by unknown individual. 06:59:33 - 07:00:27 -> Duet with last 13 seconds being a solo call by unknown individual. 07:00:49 - 07:00:52 -> burst gobbles. 07:01:07 - 07:01:15 -> Solo call. 07:02:29 - 07:02:34 -> Last bit of solo call. Then everything goes quiet. Unfortunately, the titis crossed creek while singing. Location: CD-09-007 or CD-16-048, 325d, 20m. Singing roughly 12 m up. Luciferus was TL and in CON with Lulu for a while. There was much I could not see through the vegetation. They did sing towards the other group at 90 degrees.",-0.5735764363510465,0.8191520442889916,45.28578922796566
14,27-Jul-16,L,OS30815,AV33741,39793509,08:07:00,CD-15-064,NA,GPS,10,195,371606.9419,9929268.005,371606.6830809549,9929267.039074175,-54.16,3.84e-6,-65.34,2.92e-7,12.1,10.8,"08:07:37 - duet starts. 08:08:10 - duet stops. Duet between the two males at Lago 600 (or CD-15-064), 195d, 10m. INF14A was the one who first started the real duet sequence and was TL. They were roughly 15m up. Female was FV, distance between males 5-10.",-0.25881904510252035,-0.9659258262890684,120.0576704312195
