audiofile,detection,avg_titi_max_score,avg_howler_max_score,location,automated_detection,manual_detections,detection_type,reason,comments
HARPIA_20130216_060000.wav,titi -- no howler,5.624,2.195,"4, 200",1,1,TP,,
HARPIA_20130219_060000.wav,titi -- no howler,4.867,1.825,"4, 200",1,1,TP,,
HARPIA_20150208_071500.wav,titi -- yes howler,6.222,5.205,"3, -50",1,1,TP,,
HARPIA_20150208_073000.wav,titi -- yes howler,5.593,4.485,"3, -50",1,1,TP,,
HARPIA_20160127_063000.wav,titi -- yes howler,9.453,6.37,"1, -50",1,1,TP,,
HARPIA_20160204_073000.wav,titi -- yes howler,4.184,4.055,"1, 800",1,1,TP,,
HARPIA_20160131_064500.wav,titi -- no howler,4.908,3.3,"3, 400",1,1,TP,,
HARPIA_20170219_070000.wav,titi -- no howler,4.035,2.68,"1, 400",1,1,TP,,
HARPIA_20170215_070000.wav,titi -- no howler,5.34,3.405,"2, 200",1,1,TP,,
HARPIA_20170216_073000.wav,titi -- no howler,8.185,2.79,"2, 200",1,1,TP,,
PUMA_20140209_071500.wav,titi -- no howler,5.811,3.64,"-1, 200",1,1,TP,,
PUMA_20140207_074500.wav,titi -- yes howler,9.009,5.425,"6, 0",1,1,TP,,
PUMA_20160212_064500.wav,titi -- no howler,4.715,1.815,"-2, 0",1,1,TP,,
PUMA_20160212_070000.wav,titi -- no howler,4.368,1.415,"-2, 0",1,1,TP,,
PUMA_20170223_060000.wav,titi -- no howler,5.72,2.735,"-3, 600",1,1,TP,,
HARPIA_20130222_054500.wav,titi -- no howler,4.441,1.075,"4, 200",1,0,FP,bird_1,
HARPIA_20130210_073000.wav,titi -- no howler,4.13,3.005,"7, 400",1,0,FP,bird_2,
HARPIA_20160128_074500.wav,titi -- no howler,5.099,3.635,"8, 200",1,0,FP,macaws?,"There are actually titis in here, but very faint. Check timing of what algorithm detected."
PUMA_20140207_070000.wav,titi -- yes howler,4.573,4.365,"6, 0",1,0,FP,spider monkey,
PUMA_20150216_063000.wav,titi -- yes howler,5.687,5.655,"-1, 600",1,0,FP,spider monkey,
PUMA_20150216_064500.wav,titi -- no howler,6.739,2.46,"-1, 600",1,0,FP,spider monkey,
PUMA_20150212_063000.wav,titi -- no howler,4.584,2.54,"1, 200",1,0,TP,titi monkeys!!!,
PUMA_20150208_070000.wav,titi -- no howler,5.217,3.45,"2, 0",1,0,FP,macaws or spiders,
PUMA_20160212_080000.wav,titi -- no howler,5.623,2.725,"-2, 0",1,0,FP,macaws,
PUMA_20170223_061500.wav,titi -- no howler,4.457,3.98,"-3, 600",1,0,FP,titi monkeys!!!,
PUMA_20160219_054500.wav,none,0.555,1.695,NA,0,NA,,"mic damaged, remove from analysis.",
PUMA_20160219_060000.wav,none,0.375,2.34,NA,0,NA,,,
PUMA_20160219_061500.wav,none,1.162,1.975,NA,0,NA,,,
PUMA_20160219_063000.wav,none,0.65,1.785,NA,0,NA,,,
PUMA_20160219_064500.wav,none,0.587,1.735,NA,0,NA,,,
PUMA_20160219_070000.wav,none,0.653,1.755,NA,0,NA,,,
PUMA_20160219_071500.wav,none,1.222,1.825,NA,0,NA,,,
PUMA_20160219_073000.wav,none,3.791,2.135,NA,0,NA,,,
PUMA_20160219_074500.wav,none,2.925,2.305,NA,0,NA,,,
PUMA_20160219_080000.wav,none,0.715,3.46,NA,0,NA,,,
PUMA_20160220_054500.wav,none,0.29,2.66,NA,0,NA,,,
PUMA_20160220_060000.wav,none,2.025,4.205,NA,0,NA,,,
PUMA_20160220_061500.wav,none,0.926,3.805,NA,0,NA,,,
PUMA_20160220_063000.wav,none,1.305,5.025,NA,0,NA,,,
PUMA_20160220_064500.wav,none,1.932,2.015,NA,0,NA,,,
PUMA_20160220_070000.wav,none,2.506,1.67,NA,0,NA,,,
PUMA_20160220_071500.wav,none,1.897,2.17,NA,0,NA,,,
PUMA_20160220_073000.wav,none,1.578,3.1,NA,0,NA,,,
PUMA_20160220_074500.wav,none,1.312,2.2,NA,0,NA,,,
PUMA_20160220_080000.wav,none,2.279,2.025,NA,0,NA,,,
HARPIA_20130222_060000.wav,none,1.665,0.955,"4, 200",0,1,TN,"burst gobbles, this shouldn’t be counted as a duet",
HARPIA_20160203_070000.wav,none,3.668,2.865,"1, 800",0,1,FN,"really distant, likely close to distance 4",
HARPIA_20160201_061500.wav,none,3.576,4.78,"8, 600",0,1,TN,"solo call, this shouldn’t be counted as a duet. Not what algorithm has been trained to find.",
HARPIA_20170213_070000.wav,none,5.467,10.925,"1, -50",0,1,,"both titis and howlers in file, but howlers are much louder, so final score on howler template is higher, therefore not counted as titi",
PUMA_20130303_064500.wav,none,0.893,3.165,"6, 0",0,1,,"channel 1 is bad here, channel 2 is clear. I wonder if algorithm would have detected it if we could specify which channel to look at?",
PUMA_20140205_063000.wav,none,3.407,4.86,"6, 0",0,1,,"definitely clearly titis at distance 3, but drizzle may make SNR too low? Not an easy fix.",
PUMA_20140206_064500.wav,none,4.779,5.685,"6, 0",0,1,,interference from oropendola and dove. Possible to raise bottom freq range of templates?,
HARPIA_20130223_054500.wav,none,2.792,-1.915,"1, -50",0,0,,,
HARPIA_20130223_060000.wav,none,2.052,3.135,"1, -50",0,0,,,
HARPIA_20130223_061500.wav,none,0.556,4.735,"1, -50",0,0,,,
HARPIA_20130223_063000.wav,none,0.887,2.255,"1, -50",0,0,,,
HARPIA_20130223_064500.wav,none,1.63,2.6,"1, -50",0,0,,,
HARPIA_20130223_070000.wav,none,1.156,0.285,"1, -50",0,0,,,
HARPIA_20130223_071500.wav,none,1.328,0.515,"1, -50",0,0,,,
HARPIA_20130223_073000.wav,none,1.101,0.035,"1, -50",0,0,,,
HARPIA_20130223_074500.wav,none,1.15,0.25,"1, -50",0,0,,,
HARPIA_20130223_080000.wav,none,1.287,0.41,"1, -50",0,0,,,
HARPIA_20130224_054500.wav,none,1.153,-0.055,"1, -50",0,0,,,
HARPIA_20130224_060000.wav,none,1.035,-0.22,"1, -50",0,0,,,
HARPIA_20130224_061500.wav,none,1.08,-0.21,"1, -50",0,0,,,
HARPIA_20130224_063000.wav,none,1.026,-0.115,"1, -50",0,0,,,
HARPIA_20130224_064500.wav,none,1.118,-0.045,"1, -50",0,0,,,
HARPIA_20130224_070000.wav,none,1.016,0.61,"1, -50",0,0,,,
HARPIA_20130224_071500.wav,none,1.045,0.245,"1, -50",0,0,,,
HARPIA_20130224_073000.wav,none,1.048,1.095,"1, -50",0,0,,,
HARPIA_20130224_074500.wav,none,0.903,1.61,"1, -50",0,0,,,
HARPIA_20130224_080000.wav,none,2.236,0.935,"1, -50",0,0,,,
HARPIA_20130225_054500.wav,none,1.353,3.04,"1, -50",0,0,,,
HARPIA_20130225_060000.wav,none,1.539,7.2,"1, -50",0,0,,,
HARPIA_20130225_061500.wav,none,-0.222,6.565,"1, -50",0,0,,,
HARPIA_20130225_063000.wav,none,1.004,1.355,"1, -50",0,0,,,
HARPIA_20130225_064500.wav,none,1.261,2.52,"1, -50",0,0,,,
HARPIA_20130225_070000.wav,none,2.546,2.52,"1, -50",0,0,,,
HARPIA_20130225_071500.wav,none,0.961,3.045,"1, -50",0,0,,,
HARPIA_20130225_073000.wav,none,2.618,3.19,"1, -50",0,0,,,
HARPIA_20130225_074500.wav,none,1.544,3.225,"1, -50",0,0,,,
HARPIA_20130225_080000.wav,none,3.528,3.04,"1, -50",0,0,,,
HARPIA_20130226_054500.wav,none,1.429,0.875,"1, -50",0,0,,,
HARPIA_20130226_060000.wav,none,0.873,2.29,"1, -50",0,0,,,
HARPIA_20130226_061500.wav,none,0.899,1.89,"1, -50",0,0,,,
HARPIA_20130226_063000.wav,none,1.646,2.165,"1, -50",0,0,,,
HARPIA_20130226_064500.wav,none,1.966,1.675,"1, -50",0,0,,,
HARPIA_20130226_070000.wav,none,1.57,1.225,"1, -50",0,0,,,
HARPIA_20130226_071500.wav,none,1.204,2.36,"1, -50",0,0,,,
HARPIA_20130226_073000.wav,none,1.015,-0.155,"1, -50",0,0,,,
HARPIA_20130226_074500.wav,none,1.027,-0.2,"1, -50",0,0,,,
HARPIA_20130226_080000.wav,none,1.189,0.625,"1, -50",0,0,,,
HARPIA_20130227_054500.wav,none,1.284,0.27,"1, -50",0,0,,,
HARPIA_20130227_060000.wav,none,2.179,1.335,"1, -50",0,0,,,
HARPIA_20130227_061500.wav,none,0.405,2.405,"1, -50",0,0,,,
HARPIA_20130227_063000.wav,none,1.578,2.14,"1, -50",0,0,,,
HARPIA_20130227_064500.wav,none,1.057,2.05,"1, -50",0,0,,,
HARPIA_20130227_070000.wav,none,0.849,0.285,"1, -50",0,0,,,
HARPIA_20130227_071500.wav,none,0.822,0.115,"1, -50",0,0,,,
HARPIA_20130227_073000.wav,none,1.954,0.085,"1, -50",0,0,,,
HARPIA_20130227_074500.wav,none,0.888,0.49,"1, -50",0,0,,,
HARPIA_20130227_080000.wav,none,1.168,0.87,"1, -50",0,0,,,
HARPIA_20130215_054500.wav,none,0.075,4.295,"4, 200",0,0,,,
HARPIA_20130215_060000.wav,none,1.047,6.24,"4, 200",0,0,,,
HARPIA_20130215_061500.wav,none,2.647,5.885,"4, 200",0,0,,,
HARPIA_20130215_063000.wav,none,0.8,3.91,"4, 200",0,0,,,
HARPIA_20130215_064500.wav,none,0.611,5.135,"4, 200",0,0,,,
HARPIA_20130215_070000.wav,none,1.125,4.075,"4, 200",0,0,,,
HARPIA_20130215_071500.wav,none,1.095,0.22,"4, 200",0,0,,,
HARPIA_20130215_073000.wav,none,1.057,2.41,"4, 200",0,0,,,
HARPIA_20130215_074500.wav,none,1.246,0.725,"4, 200",0,0,,,
HARPIA_20130215_080000.wav,none,1.813,3.435,"4, 200",0,0,,,
HARPIA_20130216_054500.wav,none,0.822,0.935,"4, 200",0,0,,,
HARPIA_20130216_061500.wav,none,0.582,1.77,"4, 200",0,0,,,
HARPIA_20130216_063000.wav,none,0.687,2.405,"4, 200",0,0,,,
HARPIA_20130216_064500.wav,none,1.35,1.44,"4, 200",0,0,,,
HARPIA_20130216_070000.wav,none,1.077,0.025,"4, 200",0,0,,,
HARPIA_20130216_071500.wav,none,1.08,0.005,"4, 200",0,0,,,
HARPIA_20130216_073000.wav,none,1.07,-0.03,"4, 200",0,0,,,
HARPIA_20130216_074500.wav,none,0.988,0.295,"4, 200",0,0,,,
HARPIA_20130216_080000.wav,none,1.022,0.065,"4, 200",0,0,,,
HARPIA_20130217_054500.wav,none,0.662,1.885,"4, 200",0,0,,,
HARPIA_20130217_060000.wav,none,0.532,2.33,"4, 200",0,0,,,
HARPIA_20130217_061500.wav,none,0.545,2.73,"4, 200",0,0,,,
HARPIA_20130217_063000.wav,none,0.724,2.785,"4, 200",0,0,,,
HARPIA_20130217_064500.wav,none,0.678,2.71,"4, 200",0,0,,,
HARPIA_20130217_070000.wav,none,2.914,3.09,"4, 200",0,0,,,
HARPIA_20130217_071500.wav,none,1.131,1.945,"4, 200",0,0,,,
HARPIA_20130217_073000.wav,none,0.81,1.605,"4, 200",0,0,,,
HARPIA_20130217_074500.wav,none,0.881,1.805,"4, 200",0,0,,,
HARPIA_20130217_080000.wav,none,1.883,2.595,"4, 200",0,0,,,
HARPIA_20130218_054500.wav,none,1.055,0,"4, 200",0,0,,,
HARPIA_20130218_060000.wav,none,0.978,0.165,"4, 200",0,0,,,
HARPIA_20130218_061500.wav,none,0.968,0.31,"4, 200",0,0,,,
HARPIA_20130218_063000.wav,none,0.956,0.38,"4, 200",0,0,,,
HARPIA_20130218_064500.wav,none,1.831,-0.045,"4, 200",0,0,,,
HARPIA_20130218_070000.wav,none,2.567,0.29,"4, 200",0,0,,,
HARPIA_20130218_071500.wav,none,1.234,0.37,"4, 200",0,0,,,
HARPIA_20130218_073000.wav,none,1.567,0.47,"4, 200",0,0,,,
HARPIA_20130218_074500.wav,none,1.592,0.81,"4, 200",0,0,,,
HARPIA_20130218_080000.wav,none,1.022,1.225,"4, 200",0,0,,,
HARPIA_20130219_054500.wav,none,1.478,1.55,"4, 200",0,0,,,
HARPIA_20130219_061500.wav,none,0.563,2.055,"4, 200",0,0,,,
HARPIA_20130219_063000.wav,none,0.679,1.715,"4, 200",0,0,,,
HARPIA_20130219_064500.wav,none,0.792,2.085,"4, 200",0,0,,,
HARPIA_20130219_070000.wav,none,0.803,1.3,"4, 200",0,0,,,
HARPIA_20130219_071500.wav,none,1.121,1.305,"4, 200",0,0,,,
HARPIA_20130219_073000.wav,none,1.029,0.105,"4, 200",0,0,,,
HARPIA_20130219_074500.wav,none,1.022,0.125,"4, 200",0,0,,,
HARPIA_20130219_080000.wav,none,0.997,0.12,"4, 200",0,0,,,
HARPIA_20130220_054500.wav,none,1.086,0.085,"4, 200",0,0,,,
